record_id,location_id,name,location_address,type,lights,courts,winter_play,club_name,club_website,longitude,latitude
57,649,Graydon Hall Park,215 Graydon Hall Dr,Public,Yes,3,Not indicated,NA,NA,-79.3420432259,43.7629563033
58,651,Gwendolen Park,3 Gwendolen Cres,Public,Yes,1,Not indicated,NA,NA,-79.4199866692,43.7513187144
59,651,Gwendolen Park,3 Gwendolen Cres,Club,Yes,3,Not indicated,Gwendolen Tennis Club,http://www.gwendolentennis.com,-79.4199866692,43.7513187144
60,654,Havenbrook Park,15 Havenbrook Blvd.,Club,Yes,4,Not indicated,Henry Farm Tennis Club,http://www.henryfarmtennisclub.ca,-79.356629149,43.7677120823
61,2365,Hawksbury Park,1 A Hawksbury Dr,Club,Yes,6,Not indicated,Bayview Village Tennis Club,http://www.bayviewvillagetennis.com,-79.3830617488,43.7708575539
62,659,Hendon Park,50 Hendon Ave,Public,Yes,4,Not indicated,NA,NA,-79.4207514299,43.7814751015
63,2025,Heron Park,292 Manse Rd,Club,Yes,5,Not indicated,Heron Park Tennis Club,http://www.heronparktennis.com,-79.1772993978,43.7692842438
64,77,High Park,1873 Bloor St W,Public,Yes,7,Yes,NA,NA,-79.4628353718,43.6468021242
65,77,High Park,1873 Bloor St W,Club,Yes,7,Yes,Howard Park Tennis Club,http://www.howardparktennis.com,-79.4628353718,43.6468021242
66,79,Hillcrest Park,950 Davenport Rd,Club,Yes,4,Yes,Wychwood Tennis Club,http://www.wychwoodtennis.ca,-79.4245259326,43.6759841933
67,424,Howard Talbot Park,635 Eglinton Ave E,Public,No,2,Not indicated,NA,NA,-79.3737533705,43.7106035003
68,663,Hullmar Park,97 Hullmar Dr,Public,Yes,3,Yes,NA,NA,-79.525418559,43.7649386273
